game_id,game_date,game_time_et,away_team,home_team,away_team_full_name,home_team_full_name,game_number_this_day,game_number_this_day_and_time,away_team_espn_abbr,home_team_espn_abbr
game_0021900524,1/4/20,6:00 PM,TOR,BKN,Toronto Raptors,Brooklyn Nets,2,1,tor,bkn
game_0021900525,1/4/20,7:00 PM,UTA,ORL,Utah Jazz,Orlando Magic,3,1,uth,orl
game_0021900526,1/4/20,7:30 PM,IND,ATL,Indiana Pacers,Atlanta Hawks,4,1,ind,atl
game_0021900527,1/4/20,7:30 PM,OKC,CLE,Oklahoma City Thunder,Cleveland Cavaliers,5,2,okc,cle
game_0021900529,1/4/20,8:00 PM,BOS,CHI,Boston Celtics,Chicago Bulls,6,1,bos,chi
game_0021900528,1/4/20,8:00 PM,DEN,WAS,Denver Nuggets,Washington Wizards,7,2,den,was
game_0021900530,1/4/20,8:30 PM,CHA,DAL,Charlotte Hornets,Dallas Mavericks,8,1,cha,dal
game_0021900532,1/4/20,8:30 PM,DET,GSW,Detroit Pistons,Golden State Warriors,9,2,det,gsw
game_0021900531,1/4/20,8:30 PM,SAS,MIL,San Antonio Spurs,Milwaukee Bucks,10,3,sas,mil
game_0021900533,1/4/20,10:00 PM,NOP,SAC,New Orleans Pelicans,Sacramento Kings,11,1,no,sac
game_0021900534,1/5/20,3:30 PM,NYK,LAC,New York Knicks,LA Clippers,1,1,nyk,lac
game_0021900535,1/5/20,6:00 PM,POR,MIA,Portland Trail Blazers,Miami Heat,2,1,por,mia
game_0021900536,1/5/20,7:30 PM,MIN,CLE,Minnesota Timberwolves,Cleveland Cavaliers,3,1,min,cle
game_0021900537,1/5/20,8:00 PM,MEM,PHX,Memphis Grizzlies,Phoenix Suns,4,1,mem,phx
game_0021900538,1/5/20,10:00 PM,DET,LAL,Detroit Pistons,Los Angeles Lakers,5,1,det,lal
game_0021900540,1/6/20,7:00 PM,BKN,ORL,Brooklyn Nets,Orlando Magic,1,1,bkn,orl
game_0021900542,1/6/20,7:00 PM,BOS,WAS,Boston Celtics,Washington Wizards,2,2,bos,was
game_0021900539,1/6/20,7:00 PM,IND,CHA,Indiana Pacers,Charlotte Hornets,3,3,ind,cha
game_0021900541,1/6/20,7:00 PM,OKC,PHI,Oklahoma City Thunder,Philadelphia 76ers,4,4,okc,phi
game_0021900543,1/6/20,7:30 PM,DEN,ATL,Denver Nuggets,Atlanta Hawks,5,1,den,atl
game_0021900544,1/6/20,8:00 PM,UTA,NOP,Utah Jazz,New Orleans Pelicans,6,1,uth,no
